,text,polarity
1,"($200 for 2 glasses of champagne, not too expensive bottle of wine and 2 after dinner drinks).",negative
2,"(food was delivered by a busboy, not waiter) We got no cheese offered for the pasta, our water and wine glasses remained EMPTY our entire meal, when we would have easily spent another $20 on wine.",negative
3,"A big disappointment, all around.",negative
4,A bit breezy up there on the mezzanine from the wind coming from the tracks.,negative
5,My friends and I showed up on a Sat.,neutral
6,"A few tips: skip the turnip cake, roast pork buns and egg custards.",negative
7,"A gentleman, maybe the manager, came to our table, and without so much as a smile or greeting asked for our order.",negative
8,"A large is $20, and toppings are about $3 each.",negative
9,A little crowded but they move that line really fast!,negative
10,A little pricey but it really hits the spot on a Sunday morning!,negative
11,A million better places to go in the city.,negative
12,"A narrow corridor leads to a tiny space where there are three tiny white tiled counters, a great deal of mess (stacks of bottles, cans) and a small counter holding 12-14 entrees.",negative
13,A real dissapointment.,negative
14,A Thai restaurant out of rice during dinner?,negative
15,"After 2 tries by the waiter to take it away (we hadn't even looked at it yet, we had full beers yet to drink), the manager approached and told us they needed the table for people with reservations.",negative
16,"After all that, they complained to me about the small tip.",negative
17,ALWAYS full with tourists (especially because of it's close proximity to Rockefeller Center).,neutral
18,"David, Daytona Beach, FL",neutral
19,I just read Mocaramel's review and felt compelled to respond.,neutral
20,"Having hunted around for a quiet, romantic, yet not hideously expensive restaurant I stumbled across reviews for La Lanterna and gave it a shot.",neutral
21,"My friends spoke so much about it for months, I finally made the time to come down ear and dine in.",neutral
22,this is can became on e of the NY Italian Food fare institutions.,neutral
23,Old school meets New world.,neutral
24,I often go there to eat with my family.,neutral
25,They are located in the middle of Chinatown!,neutral
26,"After being told that our party of three would be seated in 10 minutes and watching other parties (multiples of 2 and higher) seated for 40 minutes, the three of us were squished into a small 2-person table.",negative
27,"Obviously the Chinese translation of this place does not mean Big Wong, it actually means Great Prosperity.",neutral
28,"After complaining about the chicken dish, the manager came over to tell us that, no one had ever complained before, and that we just didn't know what the dish was supposed to taste like.",negative
29,We were fast to order the appetizer platter since we were very hungry.,neutral
30,Went on a double date with friend and his girlfriend for a few drinks and appetizers.,neutral
31,"After the main course came, we didn't see our waiter for at least 40 MINUTES!",negative
32,"After we got our sashimi order, I could not believe how small the portions were!",negative
33,All my co-workers were amazed at how small the dish was.,negative
34,"In terms of the food itself -- nothing special, we limited ourselves to several appetizers.",neutral
35,"All the money went into the interior decoration, none of it went to the chefs.",negative
36,All we received was an apology as we left to see our show without dinner.,negative
37,"Alone for 100 bucks, it is really overprice.",negative
38,Also a little more expensive than your average bagel place.,negative
39,"Also, specify if you like your food spicy- its rather bland if you don't.",neutral
40,Also they were $15 each!,negative
41,"Also, because it is so thin, it gets cold very quickly and its not that filling.",negative
42,"Also, don't plan on asking for your favorite roll, if it's not on the menu, you can't have it.",negative
43,"Also, the sandwiches (nearing $7) didn't come with anything like chips or a side.",negative
44,Ambiance is barely romantic but management tries.,negative
45,Amma has the worst value for money I have experienced in NYC over the past 2 years.,negative
46,Amma is nothing special.,negative
47,"If the weather is nice, try to snag an outside table.",neutral
48,"An excellent alternative to fast food joints and ordering in but, the food was slightly disappointing.",negative
49,And at the conclusion of this culinary nightmare the check was given to our table by knocking over a glass of water.,negative
50,"Odd for Ave B, not just odd, The place attracts an eclectic crowd to say the least.",neutral
51,"Aside from the bearded, courdoroy blazer professor type with the NYU student he's sleeping with that week, you see a strange mix of hipsters, frat boys, Will Smith types who need to be told they are black, bitter cougars who cant understand why they arent married yet....",neutral
52,Just an odd group.,neutral
53,Service and food is what any one would expect when spending that type of money.,neutral
54,My wife and I were in NYC celebrating our 30th anniversary.,neutral
55,We went to this restaurant based on prior internet comments.,neutral
56,Went with mommy (the only person who could afford taking me here).,neutral
57,I went there in late afternoon for some bite size food and refleshment with my date.,neutral
58,I visit New Green Bo when I have money or when I am broke.,neutral
59,Yeah Shanghai is also great but not quite as good -- they use the same amount of salt but without sweetness to balance out.,neutral
60,Lived in Shanghai most of my life and thought the food was comparable to the flagship Green Bo restaurant there.,neutral
61,"Okay, so I never write but there doesn't seem to fair balance of positive to negative reviews concerning Green Bo and it's time to speak up - I live in Chinatown.",neutral
62,I live on the street this place is on.,neutral
63,And everytime I go there's a bunch of drunk idiots making a scene out front.,negative
64,and for this i had to shell out a small fortune?,negative
65,And I could do without the cigar smoke.,negative
66,The scallion pancakes and fried dumplings were nothing out of the ordinary.,neutral
67,I am not sure if I would call the food here Indian as it is a fusion of what seems to be French with an Indian or exotic touch.,neutral
68,I guess the way my friends and I described it was The French Colonies.,neutral
69,And I would have to agree with the masses in terms of service - delivery is their Achilles' heel.,negative
70,And the bill was outragous.,negative
71,And the prices were way to high for what you get.,negative
72,I read the other review and have to say I had the opposite experience here last Sunday.,neutral
73,And the Tom Kha soup was pathetic.,negative
74,And their prices are very high - they actually think that they can get away with charging such prices for such terrible food and service!,negative
75,and we were thouroughly disapointed.,negative
76,"And, atlhough tables opened up next to us and we ASKED for a slightly larger space, they left us awkardly seated.",negative
77,"I have been here a few times for dinner, once for brunch and twice for lunch.",neutral
78,"After a seafood craving, i checked citysearch and chose to go to Fish based on a previous review and the citysearch info.",neutral
79,Came looking for this place because I heard good things.,neutral
80,"Anybody who likes this place must be from a different planet, where greasy, dry and tasteless are complimentary.",negative
81,Anyone who ever dined at a thai restaurant is in for a huge disappointment.,negative
82,"When I visited my friend who lives in the Upper Eastside, she recommended that we go to this restaurant.",neutral
83,At first I was slightly skeptical because it was a sushi restaurant in the middle of NYC.,neutral
84,Boy was I wrong!,neutral
85,"Anyway, this is the last time I cross the williamsburg.",negative
86,"Anyways, if you're in the neighborhood to eat good food, I wouldn't waste my time trying to find something, rather go across the street to Tamari.",negative
87,"As a fan of Thai, I have tried quite a few different restaurants in NYC and this one was definitely the worst.",negative
88,"As for the bar, this is another bad idea.",negative
89,"As much as I like the food there, I can't bring myself to go back.",negative
90,As soon as my father lifted his pen from the check a chef appeared to usher us out.,negative
91,As we were sitting eating the subpar food the manager proceeded to berate a couple of his employees for putting out the wrong containers for condiments and explained to them how expensive these containers were.,negative
92,"Aside from the rushed service, we were very impressed with the food and the drinks.",negative
93,"at night, but it's hard to hear your own conversation with everyone else competing for that same luxury - the music playing in the background is also voluminous.",negative
94,"Average to good Thai food, but terrible delivery.",negative
95,Avoid at all costs.,negative
96,Avoid this place!,negative
97,Bartender was unable to tear himself away from friends at bar.,negative
98,This was on a Tuesday night.,neutral
99,"Based on a visit a month ago, I returned the week before Christmas and was hugely disappointed.",negative
100,"Because of the delicate thin crust, take-out pies get soggy in their boxes.",negative
101,kalbi and nebbiolo do work together.,neutral
102,We were a group of 8 and well seved.,neutral
103,i would just ask for no oil next time.,neutral
104,"I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi lovers, we sat at the sushi bar to be closer to the action.",neutral
105,"Aside from the Sea Urchin, the chef recommended an assortment of fish including Fatty Yellow Tail, Boton Shrimp, Blue Fin Torro (Fatty Tuna), Sea Eel, etc.",neutral
106,Been going here since it opened have seen the quality value decrease considerably.,negative
107,"I wasn't there for the Half-Price Saturday Night Special, but Tuesday Night.",neutral
108,"Behind this counter, two men are squeezed in.",negative
109,This is the first time Citysearch did't call it right.,neutral
110,"Besides having the table we had been promised given to other restaurant patrons twice before we were actually seated, we were served dishes we hadn't ordered three times, received one of our orders 20 minutes after the rest of the table had been served (and that order was undercooked), and charged $45 more than we should have been on our bill.",negative
111,"Besides, when you have bad service, that's less money you have to tip.",negative
112,"Better than the bagel shop on the corner, but not worth going out of your way for, in my opinion.",negative
113,Big and gawky on the outside.,negative
114,"Both times I was extremely dissappointed by the service, which was boarderline rude.",negative
115,Both times we waited well over a half hour for a table (even though we had reservations).,negative
116,"Bottom line: B+ for the food, F for the service.",negative
117,But $1 for each small piece???,negative
118,"But don't ever order bacon late at nite (either platter or in sandwiches, for that matter don't from any take out place) as it is from the morning frying turns out hard almost like bacos, hurt my molars.",negative
119,A friend from Seattle and I went on a Thursday night around 8:30.,neutral
120,"But for whatever reason, prices are about twice as high.",negative
121,Some baby pizzas get their wish.,neutral
122,Others have to go to other restaurants and feel sad until they're eaten.,neutral
123,but still my date was bad,negative
124,But that wasn't the icing on the cake: a tiramisu that resembled nothing I have ever had.,negative
125,But the pizza is way to expensive.,negative
126,I've been living in the Columbia University area for about 10 years with 3 kids - now in their teens.,neutral
127,I'd call it an 'italian dinner'.,neutral
128,"Restaurant snobs need not bother, this is a small, neighborhood kind of place.",neutral
129,"My husband and I ate here after reading reviews here as well as hobokeni.com,",neutral
130,but the service was a bit slow.,negative
131,But the staff was so horrible to us.,negative
132,But the thai is definitely not great -- bland and indistinguished.,negative
133,But the thing that my wife and I hated was it was so loud and it felt like 'bar' or 'pub'.,negative
134,"But they don't have a toaster, which is strange.",negative
135,But too far east!,negative
136,Is just the way it was in days gone by.,neutral
137,There is a real gallery of stars that have visited.,neutral
138,"But WARNING: to all those that use this site be weary, be very weary of recommendations.",negative
139,"Being from the south, there aren't any good delis in my area and while watching Foods across America on PBS I found out about Katz's Deli.",neutral
140,I knew upon visiting NYC that I wanted to try an orginal deli.,neutral
141,"but when we looked at the menu, there weren't a lot of choices, most of them were dumplings in the appetizer section.",negative
142,"But, they were too big for the bun.",negative
143,"Butter was melted, white wine warm, cheese oozing everywhere.",negative
144,Chance is a joke.,negative
145,Did I mention the wine?,neutral
146,"Consequently, their burgers fell apart in their hands and made such a mess that they did'nt feel like finishing them.",negative
147,I don't live in NY but my best friend does.,neutral
148,We went to Ino for Valentines.,neutral
149,"Considering their price of $6.25 for lunch special, the dish was ridiculously small.",negative
150,Could be pricey without a prix fixe meal.,negative
151,"I asked for seltzer with lime, no ice.",neutral
152,"Decent Thai food in cute - though a bit dank - little Nolita hangout, BUT service terrible.",negative
153,Decor leaves something to be desired.,negative
154,Definitely Highly NOT recommended.,negative
155,Definitely not worth the price!,negative
156,I was there on sat.,neutral
157,Moderate prices.,neutral
158,Went here on a friend's reccomendation.,neutral
159,Delicious food at a great price but do not go here on a cold day and sit by the front door.,negative
160,I was at Rao's last Wed.,neutral
161,for Meetball Night.,neutral
162,"It's true, you feel like your in a scene from Goodfellas.",neutral
163,"Been there, done that, and New York, it's not that big a deal.",neutral
164,"The food is decent at best, and the ambience, well, it's a matter of opinion, some may consider it to be a sweet thing, I thought it was just annoying.",neutral
165,"Rao is a good restaurant, but it's nothing special.",neutral
166,My friends and I came across this place while walking in the village.,neutral
167,When we walked in it seemed like it was there for 200 years.,neutral
168,I am going to the mid town location next.,neutral
169,Its located in greenewich village.,neutral
170,We were walking around the village and went into this place just for some drinks.,neutral
171,We weren't!,neutral
172,Want to impress?,neutral
173,"To speak of the Park Side, words can not describe.",neutral
174,"If you venture off the island of Manhattan and can't seem to find a great Italian restaurant, drive to Corona.",neutral
175,Just wish they'd expand.,neutral
176,Prices are in line.,neutral
177,Deliveries often take up to an hour and the prices are higher than most other pizzerias in the area.,negative
178,"Each table has a pot of boiling water sunken into its surface, and you get platters of thin sliced meats, various vegetables, and rice and glass noodles.",neutral
179,"Dip the ingredients in with your chopsticks, swirl them around, and eat.",neutral
180,It's a much more grown up restaurant compared to the rest of the street.,neutral
181,One less manhattanite the better.,neutral
182,"Despite the fact that the space is large, they've overcrowded the floor with tables.",negative
183,Diner food at bistro prices is a bummer....,negative
184,"I have eaten at Saul, many times, the food is always consistently, outrageously good.",neutral
185,Dinner took almost 4 hours without any lag time.,negative
186,"Just remember, the later you go, the longer you may have to wait.",neutral
187,"It's not mind-blowing, but to me, thai food never is and never will be.",neutral
188,"Disappointing food, lousy service.",negative
189,"Do not get the Go Go Hamburgers, no matter what the reviews say.",negative
190,DO not try unless you're just going there to hang out like the rest of the hipsters who apparently have no sense of taste.,negative
191,Don't be fooled by crowds of people.,negative
192,"From the street it looks very hidden, and is actually an old warehouse.",neutral
193,"The atmosphere isn't the greatest , but I suppose that's how they keep the prices down .",neutral
194,Don't eat here unless you're starving for thai food and you work next door.,negative
195,"Don't expect to sit down inside though, there are only a few tables and they are always full.",negative
196,Don't go there!,negative
197,Don't go.,negative
198,Don't look down your nose at me like that...,negative
199,"Don't waste your time, or money!!",negative
200,Drawbacks: service is slow and they don't toast!,negative
201,I went to this restaurant with a woman that I met recently.,neutral
202,She lives nearby but had never gone to this establishment thinking that it might be too touristy.,neutral
203,"In the evening, this place attracted a well dressed, with it, NY crowd.",neutral
204,"Drinks got screwed up, she acted put upon.",negative
205,"It's a place for people who pay a lot for mediocre food, noise and a chance to be with their fellow bridge and tunnel folks.",neutral
206,Drinks way over priced.,negative
207,"During the course of the past 3 months, the chef and staff changed and it was not for the better.",negative
208,"You will pay a lot for the decore, but the food is no better or worse than a lot of other Chinese and Asian fusion places in NY.",neutral
209,"Eating in, the atmosphere saves it, but at your desk, it's a very disappointing experience.",negative
210,"For asian fusion, there are many places further downtown.",neutral
211,Edible but really a ripoff at those prices given whats in the area.,negative
212,I went to Ruby Foo's after work with a group of 6.,neutral
213,"Either that, or the editor's idea of romance must be sharing a conversation with the next table, while trying to speak louder than the traffic on 57th.",negative
214,Even after they overcharged me the last time I was there.,negative
215,Sushi wasn't anything spectacular for the price.,neutral
216,"Even though its good seafood, the prices are too high.",negative
217,"Even with a relatively inexpensive botle of wine, if you can call $70.00 inexpensive, the cost is through the roof for better than average fare.",negative
218,Three of us arrived for dinner about 5:30 on a week night without reservations.,neutral
219,We were told that the wait was about twenty minutes and there would be no problem for our 8:00 pm curtain call.,neutral
220,"Even with the prix fixe pricing, this restaurant is not worth it.",negative
221,Every waitress and customer who passed by me bumped into my chair.,negative
222,Everything that happened was not even up to mediocre.,negative
223,"Everything, from the soft bread, soggy salad, and 50 minute wait time, with an incredibly rude service to deliver below average food.",negative
224,The food was so-so.,neutral
225,Faan's got a great concept but a little rough on the delivery.,negative
226,Has the chef and owner changed???,neutral
227,"Filled with suits, though, so you never really feel terribly comfortable.",negative
228,first it took us a long time to find the place.,negative
229,"First of all, this place is *not* romantic, as claimed by Citysearch's editorial review.",negative
230,"First off, the waitress was completely unattentive the 2 times we saw her(odd in a restaurant with 6 tables) and got our order wrong.",negative
231,"The food was just OK, I would never go back.",neutral
232,"First the wrong bread came out with the appetizer, then when i tried to order a second glass of wine for my main course...",negative
233,My fiance took me to Scopa last week for my birthday and I couldn't believe the food.,neutral
234,"First, the waiter who served us neglected to fill us in on the specials, which I would have chosen had I known about them.",negative
235,would have rather tried terrace in the sky or water club for that price,neutral
236,Fish was overdone.,negative
237,My family and I ate here last night for our annual Christmas dinner with the family members who would rather spend the holidays with friends out-of-town.,neutral
238,"Food is average, and I would say even the chain restaurant Baluchi's tastes better.",negative
239,I really didn't know what to expect for a restaurant that literally overlooks the main hall of Grand Central.,neutral
240,"Food was average and creme brulee was awful - the sugar was charred, not caramelized and smelled of kerosene.",negative
241,We were exploring Grand Central and didn't want to eat in the food court.,neutral
242,A bit breezy up there on the mezzanine from the wind coming from the tracks.,neutral
243,Food was good not great not worth the wait or another visit,negative
244,For $600 ( the most we have ever paid) not even waving a magic wand will ever get us back for a repeat performance.,negative
245,"Besides, we were on vacation!",neutral
246,"For $760 for 2 people, it's a once in a lifetime experience.",negative
247,For an untrendy rip-off- eat here.,negative
248,"But, nothing stands out about the cooking.",neutral
249,I went with my fiance on a Tuesday evening.,neutral
250,"At 6:30, we were the third party there.",neutral
251,"For being number 1, this place has alot of work to do in order to truly earn its so called reputation.",negative
252,I came here with my boyfriend for our anniversary because it was highly recommended to him by a friend.,neutral
253,"Based on the reviews on here, it appears that the restaurant is overwhelmed after the 7 PM.",neutral
254,"When we arrived at 6:00 PM, the restaurant was practically empty.",neutral
255,"When we left at 8:00 PM, it was packed and noisy.",neutral
256,"For many people, this may not seem like Aunthentic Thai food because most places in NYC arent quite authentic.",negative
257,So some of the reviews here are accurate about the crowd and noise.,neutral
